# ICAO door x y z
# position is in meters relative to the CG, axes: +x to the left, +y up, +z to the tail
A306 2 -3.00 0.80 -10.30
A321 2 -1.90 0.61 -7.65
A21N 1 -1.80 0.61 -15.84
A330 2 -2.93 1.30 -13.40
A333 2 -3.00 0.80 -11.50
A343 2 -3.00 0.75 -11.50
A345 2 -2.44 1.50 -12.00
A346 2 -2.44 -0.58 -15.00
A359 2 -3.20 1.00 -12.50
A388 2 -3.50 0.83 -12.50
B742 2 -2.93 1.77 -14.40
B744 2 -3.38 1.70 -12.30
B748 2 -3.38 0.41 -13.47
B764 2 -2.50 1.00 -10.0
B772 2 -2.97 0.57 -13.08
B789 2 -3.00 0.30 -10.90
# the latest revision of MD11 places door 1 at the position below
#MD11 2 -3.00 0.90 -16.70
